algorithm,cluster_count,noise_count,noise_share,coverage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,minimum_cluster_size,maximum_cluster_share,eligible,n_clusters,linkage,metric,eps,min_samples,inertia
K-Means,2,0,0.0,1.0,0.36158290627924067,2515.5232682318106,1.3591262579881502,1251.0,0.8225531914893617,True,2.0,,euclidean,,,70782.58474080544
K-Means,3,0,0.0,1.0,0.13543226660177954,1756.0379855564483,2.0732799933815307,1198.0,0.48113475177304965,True,3.0,,euclidean,,,64099.86555900886
K-Means,4,0,0.0,1.0,0.14881941223591263,1478.2976901425357,1.9705004063033087,361.0,0.4693617021276596,True,4.0,,euclidean,,,58944.78768987767
K-Means,5,0,0.0,1.0,0.13799851739981067,1345.211514330888,1.9021167632046858,328.0,0.32056737588652484,True,5.0,,euclidean,,,54454.47953675922
K-Means,6,0,0.0,1.0,0.14459191098350954,1246.4506409550747,1.8087690349758727,290.0,0.2692198581560284,True,6.0,,euclidean,,,50959.34162843977
K-Means,7,0,0.0,1.0,0.14517071673673912,1164.2938000775407,1.755785577438661,289.0,0.1950354609929078,True,7.0,,euclidean,,,48218.86261456421
K-Means,8,0,0.0,1.0,0.1503617815297792,1093.91449592993,1.647462116997266,112.0,0.19120567375886524,True,8.0,,euclidean,,,46012.47505360691
K-Means,9,0,0.0,1.0,0.15464973285357045,1042.1152650259598,1.6312213367363662,110.0,0.16553191489361702,True,9.0,,euclidean,,,43976.26109844318
K-Means,10,0,0.0,1.0,0.15399457193387883,987.9511730823214,1.6718731358282262,110.0,0.16283687943262412,True,10.0,,euclidean,,,42441.70099926509
K-Means,11,0,0.0,1.0,0.15438309433448796,947.4211462035172,1.6972387282962387,108.0,0.16283687943262412,True,11.0,,euclidean,,,40940.94509622007
K-Means,12,0,0.0,1.0,0.1510456894166839,903.6365724118375,1.7034191259990699,105.0,0.12028368794326241,True,12.0,,euclidean,,,39814.502650129056
K-Means,13,0,0.0,1.0,0.14379584612430982,860.7719125472948,1.7431271999468771,112.0,0.1123404255319149,True,13.0,,euclidean,,,38918.81598969031
K-Means,14,0,0.0,1.0,0.14892595820163587,837.799002512751,1.7025390919070227,89.0,0.10085106382978723,True,14.0,,euclidean,,,37695.30635761357
K-Means,15,0,0.0,1.0,0.13981736179920287,804.9224594799742,1.7124755958915223,89.0,0.1075177304964539,True,15.0,,euclidean,,,36914.6339192966
Agglomerative Clustering,2,0,0.0,1.0,0.3643502685742159,2346.167398439077,1.3416387553469353,1137.0,0.8387234042553191,True,2.0,ward,euclidean,,,
Agglomerative Clustering,2,0,0.0,1.0,0.5143146402870579,753.159490221325,0.9689272408402066,139.0,0.9802836879432624,False,2.0,complete,euclidean,,,
Agglomerative Clustering,2,0,0.0,1.0,0.4116261678652216,753.7738911776567,1.5390903559191036,326.0,0.953758865248227,False,2.0,complete,manhattan,,,
Agglomerative Clustering,2,0,0.0,1.0,0.5293816707537721,602.0664512072989,0.7468715295630013,89.0,0.9873758865248227,False,2.0,average,euclidean,,,
Agglomerative Clustering,2,0,0.0,1.0,0.6268809378438568,65.39950274022443,0.6988283419930824,7.0,0.9990070921985815,False,2.0,average,manhattan,,,
Agglomerative Clustering,2,0,0.0,1.0,0.2739622556251243,2041.0905693125646,1.7244176975988648,1928.0,0.7265248226950355,True,2.0,average,cosine,,,
Agglomerative Clustering,3,0,0.0,1.0,0.12445382926308286,1588.4311196502015,2.1783682410329543,1137.0,0.5506382978723404,True,3.0,ward,euclidean,,,
Agglomerative Clustering,3,0,0.0,1.0,0.49289029310499566,424.6939263529864,0.9693565617822323,19.0,0.9802836879432624,False,3.0,complete,euclidean,,,
Agglomerative Clustering,3,0,0.0,1.0,0.3487357003893279,497.6386666572076,1.5056488322073605,85.0,0.953758865248227,False,3.0,complete,manhattan,,,
Agglomerative Clustering,3,0,0.0,1.0,0.48322142569770754,362.36065139924324,1.0607809065310647,26.0,0.9836879432624114,False,3.0,average,euclidean,,,
Agglomerative Clustering,3,0,0.0,1.0,0.4674081898032508,76.84676919490616,0.9129886177722115,7.0,0.9963120567375886,False,3.0,average,manhattan,,,
Agglomerative Clustering,3,0,0.0,1.0,0.26370612915016706,1183.5040329635906,1.5754966632353684,115.0,0.7265248226950355,True,3.0,average,cosine,,,
Agglomerative Clustering,4,0,0.0,1.0,0.12182241372059605,1300.3223534818048,2.1529911554010557,416.0,0.5506382978723404,True,4.0,ward,euclidean,,,
Agglomerative Clustering,4,0,0.0,1.0,0.4579544543761524,313.73378914719933,0.9033427309931603,14.0,0.9782978723404255,False,4.0,complete,euclidean,,,
Agglomerative Clustering,4,0,0.0,1.0,0.3473829567021143,361.5655337845501,1.325077117533358,22.0,0.953758865248227,False,4.0,complete,manhattan,,,
Agglomerative Clustering,4,0,0.0,1.0,0.4619097524925518,245.26991793323177,0.996561460695889,3.0,0.9836879432624114,False,4.0,average,euclidean,,,
Agglomerative Clustering,4,0,0.0,1.0,0.4023153218093602,94.96751240544428,0.9394671420875105,7.0,0.9910638297872341,False,4.0,average,manhattan,,,
Agglomerative Clustering,4,0,0.0,1.0,0.10759889998412063,1036.1126942882786,2.045134330874103,115.0,0.3872340425531915,True,4.0,average,cosine,,,
Agglomerative Clustering,5,0,0.0,1.0,0.13268662581667956,1182.5278883135782,2.0670975392812942,416.0,0.41829787234042554,True,5.0,ward,euclidean,,,
Agglomerative Clustering,5,0,0.0,1.0,0.4495691867699274,249.0193705848078,1.1291264237038434,14.0,0.9782978723404255,False,5.0,complete,euclidean,,,
Agglomerative Clustering,5,0,0.0,1.0,0.2505766852779021,321.5900717109414,1.3308896131319359,22.0,0.953758865248227,False,5.0,complete,manhattan,,,
Agglomerative Clustering,5,0,0.0,1.0,0.39829674362240336,220.90210854859984,0.9828617441068159,3.0,0.9787234042553191,False,5.0,average,euclidean,,,
Agglomerative Clustering,5,0,0.0,1.0,0.402890313962589,302.3806683157938,1.0587115455839065,7.0,0.9682269503546099,False,5.0,average,manhattan,,,
Agglomerative Clustering,5,0,0.0,1.0,0.06715336500493446,823.4787612155747,2.0635781844636254,108.0,0.3872340425531915,True,5.0,average,cosine,,,
Agglomerative Clustering,6,0,0.0,1.0,0.1053981404271735,1074.509577535264,2.0494393166370712,416.0,0.28808510638297874,True,6.0,ward,euclidean,,,
Agglomerative Clustering,6,0,0.0,1.0,0.29029489353046306,535.540881173967,1.2814293411042086,14.0,0.8526241134751773,False,6.0,complete,euclidean,,,
Agglomerative Clustering,6,0,0.0,1.0,0.1543467119193519,332.8545698919202,1.4978805167400309,22.0,0.8998581560283688,False,6.0,complete,manhattan,,,
Agglomerative Clustering,6,0,0.0,1.0,0.39562061353693917,179.1955298868383,1.0156520183125444,3.0,0.9787234042553191,False,6.0,average,euclidean,,,
Agglomerative Clustering,6,0,0.0,1.0,0.40215158786280664,243.54191450267692,0.9541866054266213,3.0,0.9682269503546099,False,6.0,average,manhattan,,,
Agglomerative Clustering,6,0,0.0,1.0,0.044775417475629326,713.382101481973,2.052902806232456,108.0,0.3872340425531915,True,6.0,average,cosine,,,
Agglomerative Clustering,7,0,0.0,1.0,0.11087647937251902,981.6548263992818,1.9023303048467377,126.0,0.28808510638297874,True,7.0,ward,euclidean,,,
Agglomerative Clustering,7,0,0.0,1.0,0.2920893927598312,575.1167940191135,1.5932884889731906,14.0,0.8133333333333334,False,7.0,complete,euclidean,,,
