record_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,published_at,publication_year,publication_month,publication_weekday,publication_weekday_number,publication_hour
0,video,529,512,262,432,92,3,1,1,0,2018-04-22 06:00:00,2018,4,Sunday,6,6.0
1,photo,150,0,0,150,0,0,0,0,0,2018-04-21 22:45:00,2018,4,Saturday,5,22.75
2,video,227,236,57,204,21,1,1,0,0,2018-04-21 06:17:00,2018,4,Saturday,5,6.283333333333333
3,photo,111,0,0,111,0,0,0,0,0,2018-04-21 02:29:00,2018,4,Saturday,5,2.4833333333333334
4,photo,213,0,0,204,9,0,0,0,0,2018-04-18 03:22:00,2018,4,Wednesday,2,3.3666666666666667
5,photo,217,6,0,211,5,1,0,0,0,2018-04-18 02:14:00,2018,4,Wednesday,2,2.2333333333333334
6,video,503,614,72,418,70,10,2,0,3,2018-04-18 00:24:00,2018,4,Wednesday,2,0.4
7,video,295,453,53,260,32,1,1,0,1,2018-04-17 07:42:00,2018,4,Tuesday,1,7.7
8,photo,203,1,0,198,5,0,0,0,0,2018-04-17 03:33:00,2018,4,Tuesday,1,3.55
9,photo,170,9,1,167,3,0,0,0,0,2018-04-11 04:53:00,2018,4,Wednesday,2,4.883333333333333
10,photo,210,2,3,202,7,1,0,0,0,2018-04-10 01:01:00,2018,4,Tuesday,1,1.0166666666666666
11,photo,222,4,0,213,5,4,0,0,0,2018-04-09 02:06:00,2018,4,Monday,0,2.1
12,photo,313,4,2,305,6,2,0,0,0,2018-04-08 05:10:00,2018,4,Sunday,6,5.166666666666667
13,photo,209,4,0,200,8,1,0,0,0,2018-04-08 02:23:00,2018,4,Sunday,6,2.3833333333333333
14,photo,346,11,0,335,10,1,0,0,0,2018-04-05 09:23:00,2018,4,Thursday,3,9.383333333333333
15,video,332,100,30,303,23,1,5,0,0,2018-04-01 05:16:00,2018,4,Sunday,6,5.266666666666667
16,video,135,256,79,117,18,0,0,0,0,2018-03-30 08:28:00,2018,3,Friday,4,8.466666666666667
17,video,150,173,47,132,16,1,0,1,0,2018-03-26 08:28:00,2018,3,Monday,0,8.466666666666667
18,video,221,166,36,192,28,0,1,0,0,2018-03-23 07:09:00,2018,3,Friday,4,7.15
19,photo,152,2,0,149,3,0,0,0,0,2018-03-22 01:25:00,2018,3,Thursday,3,1.4166666666666667
20,photo,234,15,1,221,12,1,0,0,0,2018-03-21 08:40:00,2018,3,Wednesday,2,8.666666666666666
21,photo,227,7,1,217,7,2,1,0,0,2018-03-21 07:46:00,2018,3,Wednesday,2,7.766666666666667
22,photo,98,0,0,96,0,2,0,0,0,2018-03-20 01:54:00,2018,3,Tuesday,1,1.9
23,video,18,0,0,18,0,0,0,0,0,2018-03-20 01:28:00,2018,3,Tuesday,1,1.4666666666666668
24,photo,102,0,0,100,0,2,0,0,0,2018-03-20 00:15:00,2018,3,Tuesday,1,0.25
25,video,37,0,1,37,0,0,0,0,0,2018-03-19 22:34:00,2018,3,Monday,0,22.566666666666666
26,video,75,36,14,70,5,0,0,0,0,2018-03-17 08:07:00,2018,3,Saturday,5,8.116666666666667
27,video,90,78,9,85,5,0,0,0,0,2018-03-17 07:47:00,2018,3,Saturday,5,7.783333333333333
28,photo,145,9,0,138,7,0,0,0,0,2018-03-12 05:51:00,2018,3,Monday,0,5.85
29,video,253,300,31,229,22,1,1,0,0,2018-03-09 07:45:00,2018,3,Friday,4,7.75
30,photo,85,0,0,81,2,2,0,0,0,2018-03-09 05:55:00,2018,3,Friday,4,5.916666666666667
31,video,45,14,0,40,5,0,0,0,0,2018-03-07 13:10:00,2018,3,Wednesday,2,13.166666666666666
32,photo,92,0,0,85,4,2,1,0,0,2018-03-07 06:13:00,2018,3,Wednesday,2,6.216666666666667
33,photo,125,1,0,116,8,1,0,0,0,2018-03-07 04:46:00,2018,3,Wednesday,2,4.766666666666667
34,photo,119,4,0,116,3,0,0,0,0,2018-03-05 08:32:00,2018,3,Monday,0,8.533333333333333
