feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
num_comments,0.40457305246731745,0.006963264593504744,-0.19818725770860862,0.0035699002938610856,-0.06831194909594433,-0.019482731216345233,0.16103596649636961,-0.19332072118484267,-0.05688375867719996,-0.09619256942106948
num_shares,0.4071519449372316,0.019079350534438308,-0.03669037115598597,0.059793463528508665,-0.0005092136147932483,-0.01866570713067378,0.01832124243909453,-0.3493552585540551,-0.06561208452012206,-0.13014441866645013
num_likes,0.26700092121020036,0.10454516592238267,-0.24983525516671853,-0.13793756841440147,-0.25058745359469453,-0.027081869575435114,0.5235411294508314,0.3074882164468904,-0.07358249916929059,-0.10166592775832663
num_loves,0.4194570771754989,0.03307449197551485,0.008218675684534082,0.06747448358177449,-0.007676067807766055,-0.007121554784707541,0.03224581927009988,-0.21944323895299353,-0.0440316044178237,0.08354137142524123
num_wows,0.3140808832231476,0.02205780448549842,0.07574301538134458,-0.1064485393791915,-0.07734976979134758,0.04302904142447733,0.14282739692790503,0.37873124216096915,0.11403077226658145,0.6631003134859856
num_hahas,0.37055159439533103,-0.05870190835551594,-0.015515961406308119,0.011534613519414906,0.08877643622465764,0.027086023458407302,-0.1617073488830769,-0.10398218416595256,0.08834060229727396,-0.004908224427947868
num_sads,0.2428042854629443,-0.10833385256339355,-0.10671132326019968,0.003518656946603445,0.1749403488481879,0.0345178540774272,-0.4605635215953277,0.4506387503276563,-0.5849535583849734,-0.11891415216555395
num_angrys,0.27109269725196883,-0.0719312055382182,0.0033502713737904757,-0.056454505166278694,0.20719515003497468,0.020067388539577517,-0.33045903037583824,0.2906070428407011,0.7267372832137373,-0.23220624143535282
publication_year,0.15748167213582034,0.19916390356043612,0.659267216183662,0.15383708293730325,0.058588744234927825,-0.024368003882615032,-0.15155342552797582,-0.07958994572962982,-0.17719670848472552,0.27333746905762346
publication_month_sin,0.07342134734902632,0.23033830214996556,0.5817925166336341,-0.4242740178571043,-0.05128726791804754,0.01889207421793636,0.2185259189104492,0.14091752444024877,-0.011242347323827541,-0.46112373725810885
publication_month_cos,0.021332183835515505,-0.004494490327283161,0.16074610527462013,0.8337415110749621,-0.1620174621015402,-0.157200027440579,0.1936108263889701,0.3074438857520867,0.08001731105832065,-0.20571497401167024
publication_weekday_number_sin,0.005406292428348375,0.02417584611158856,0.02634310822576699,0.10215655365714847,-0.46788619505642803,0.8588211858622998,-0.1554039172992273,-0.03287793839159068,0.0400724909290416,-0.04104674947209427
publication_weekday_number_cos,-0.010801005185871217,0.005779882431287842,-0.00583341124481372,0.1411340460321402,0.7647297846347743,0.47727380565351724,0.4026224262690188,0.0295230019354888,-0.05405086073718846,-0.015585440400681685
publication_hour_sin,0.02228044618797479,-0.6459466785007147,0.24473831411962046,-0.018283826282967028,-0.022084309203061998,-0.014449076232896573,0.1636179949868044,-0.17579307468116676,0.12737031172234198,0.17882000253574748
publication_hour_cos,-0.0315245489373045,0.6746512088618403,-0.13631111998082596,0.10371897239098324,0.08959119458039014,-0.03676674263274095,-0.08481384178597512,-0.1455665328825291,0.17982720659020404,0.18917731069067706
status_type_link,-0.001462445572891802,0.002595135933779467,0.0008881322422607637,0.0009182038416486907,-0.0014982062826562185,-0.0008741735043860872,0.0010600111003082116,0.0025420876177960025,-0.0021225414202719183,-0.005966810954626006
status_type_photo,-0.10464301087538745,0.014561397913838606,-0.02235170149369045,-0.09317241787135645,-0.007088948182432773,0.031143301158527165,0.025615856856461276,0.1881595598832619,0.044978250809108986,0.15850342150113608
status_type_status,-0.001946951803304814,0.008651278599926636,-0.006914166903794089,-0.003799457913219175,-0.010480418326906982,-0.003040871308982753,0.012020336718880085,0.022426082226371026,-0.024533814956937294,0.0029646048885357875
status_type_video,0.108052408251584,-0.025807812447544702,0.028377736155223935,0.09605367194292704,0.019067572791995925,-0.027228256345158054,-0.038696204675649604,-0.213127729727429,-0.018321894431899816,-0.15550121543504566
