component,explained_variance_ratio,cumulative_variance_ratio
1,0.30563240576269096,0.30563240576269096
2,0.09300653636781288,0.3986389421305038
3,0.08567107456014689,0.4843100166906507
4,0.07013092903679681,0.5544409457274475
5,0.06524379036377467,0.6196847360912222
6,0.06441836127154273,0.684103097362765
7,0.061438914627741995,0.745542011990507
8,0.04873865700520008,0.794280668995707
9,0.04309945833956692,0.837380127335274
10,0.04055428603866213,0.8779344133739362
11,0.03685668322041871,0.9147910965943549
12,0.026659512831075084,0.9414506094254299
13,0.020522222441294216,0.9619728318667241
14,0.016007195659083685,0.9779800275258078
15,0.008912900015962321,0.9868929275417702
16,0.008315833134358082,0.9952087606761283
17,0.004055434376828174,0.9992641950529565
18,0.0007358049470437282,1.0000000000000002
19,3.203737952477583e-33,1.0000000000000002
